t,x,y,yaw,hx,hy,v,w,actual_v,actual_w,distance,bearing,error,stale,close,state,estimate_distance,estimate_speed,rejected_measurements
0.032,-9.895465867617852e-20,-9.05499575168298e-06,1.4335101498603523e-18,1.5,0.0,2.590493459373827e-12,1.1888460432805557e-06,-3.3507354409815345e-18,4.479350741066638e-17,1.500000000027331,6.036663834380559e-06,2.7331026331012254e-11,0,0,FOLLOWING,1.500000000027331,0.0,0
0.064,-1.4095788384227572e-11,-7.5634113680569655e-06,1.70739567643243e-08,1.5144,0.0,0.002449510093634153,1.961487285792133e-06,-4.3142170969678905e-10,5.335611290864198e-07,1.514400000032983,4.977254733095476e-06,0.014400000032982918,0,0,FOLLOWING,1.5043200000331094,0.011249999999999975,0
0.096,7.499705211253675e-05,-6.063949521204595e-06,4.595423234314818e-08,1.5288,0.0,0.008588692187172025,2.389583573279995e-06,0.0023455792757161678,8.97958319958541e-07,1.5287250029599142,3.920717019503646e-06,0.028725002959914203,0,0,FOLLOWING,1.5118410029600484,0.030093750000000086,0
0.128,0.000341754745926911,-4.854677165564038e-06,8.26085387737619e-08,1.5432,0.0,0.018850770163396004,2.5721723573229268e-06,0.008340790719038654,1.1292882961367772e-06,1.5428582452617106,3.0639392276728987e-06,0.04285824526171056,0,0,FOLLOWING,1.521633545261817,0.053782031250000126,0
0.16,0.0009323620429439691,-3.887524971101833e-06,1.2412938127982733e-07,1.5576,0.0,0.03315082903474502,2.5847091013053713e-06,0.018463689154337697,1.2665188052600374e-06,1.5566676379619102,2.373208442351987e-06,0.05666763796191021,0,0,FOLLOWING,1.532935065461985,0.08026927734375024,0
0.192,0.0019769842692811176,-3.114126269258959e-06,1.682746984139961e-07,1.572,0.0,0.051090548068180655,2.483040511252415e-06,0.032653705029781536,1.3345987805568877e-06,1.5700230157338073,1.8152161409260248e-06,0.07002301573380731,0,0,FOLLOWING,1.545128246796357,0.10805361767578169,0
0.224,0.003593356736888806,-2.4955237697218942e-06,2.13262271955198e-07,1.5864,0.0,0.0721010499212606,2.308068198070896e-06,0.05052221960884609,1.35051257806847e-06,1.5828066432650785,1.3633824687915676e-06,0.08280664326507847,0,0,FOLLOWING,1.5577207060447975,0.13605131546630905,0
0.256,0.005881037450196345,-2.000593555105917e-06,2.576794140502476e-07,1.6008,0.0,0.09554048539067603,2.089422117496693e-06,0.07150117769680488,1.326765868599842e-06,1.5949189625510585,9.96674946315818e-07,0.09491896255105847,0,0,FOLLOWING,1.570326355963305,0.1634984210330204,0
0.28800000000000003,0.008918911634993738,-1.6044679451012326e-06,3.0043287106151654e-07,1.6152,0.0,0.12075876830901255,1.8482860065659345e-06,0.09494463272230919,1.2731414993176533e-06,1.6062810883658076,6.984383456405658e-07,0.10628108836580763,0,0,FOLLOWING,1.582648628385518,0.18987393440389277,0
0.32,0.012764851838398287,-1.287270647724566e-06,3.4070887403288714e-07,1.6296,0.0,0.14635876830901257,1.5995528193831396e-06,0.12019605994286403,1.1975623238744664e-06,1.6168351481621142,4.554580383378428e-07,0.11683514816211416,0,0,FOLLOWING,1.5944656023065573,0.21483994540340612,0
0.352,0.01743285480105196,-1.0331129867839794e-06,3.779630748240744e-07,1.6440000000000001,0.0,0.17195876830901255,1.3534515123462636e-06,0.1458838642961016,1.1076770409552496e-06,1.626567145199276,2.5718622708653237e-07,0.12656714519927603,0,0,FOLLOWING,1.6056408778774218,0.23819515446798037,0
0.384,0.022923055880851133,-8.292915041084917e-07,4.117921393034802e-07,1.6583999999999999,0.0,0.1975587683090126,1.1167969094690495e-06,0.1715758223993565,1.0069044292730459e-06,1.635476944119359,9.527187470808307e-08,0.13547694411935907,0,0,FOLLOWING,1.6160841284541434,0.2598389219514826,0
0.41600000000000004,0.029234917118009046,-6.656478986969377e-07,4.419656553223349e-07,1.6728,0.0,0.2231587683090126,8.939144003782139e-07,0.197251280093117,8.995024620508992e-07,1.6435650828821258,-3.6963197172221424e-08,0.14356508288212577,0,0,FOLLOWING,1.6257305037681877,0.27974358614114725,0
0.448,0.036367946709949646,-5.340590041404431e-07,4.684038628816771e-07,1.6872,0.0,0.24875876830901264,6.873282872237812e-07,0.22291165326182386,7.894165317973727e-07,1.6508320532901368,-1.4489487656410253e-07,0.15083205329013682,0,0,FOLLOWING,1.6345341042399417,0.29793326142038384,0
